"Subjects","Tag","Count"
"DS","FIFO","1"
"DS","OSPF","1"
"DS","Top-k问题","4"
"DS","TTL","2"
"LA","按行按列展开定理","5"
"LA","边缘概率密度","2"
"LA","变量变换","1"
"LA","变限积分","3"
"LA","伯努利分布","1"
"LA","不定积分","1"
"LA","不相关","1"
"LA","参数范围","2"
"LA","参数分类讨论","4"
"LA","常数项","3"
"LA","常微分方程","1"
"LA","充分必要条件","7"
"LA","充要条件","5"
"LA","凑微分","1"
"LA","大数定律","1"
"LA","待定系数","1"
"LA","待定系数法","1"
"LA","单调性","2"
"LA","导数","1"
"LA","等价无穷小","3"
"LA","递推","2"
"LA","递推数列","3"
"LA","第二类错误","1"
"LA","第二类曲线积分","1"
"LA","第二型曲面积分","2"
"LA","点积","1"
"LA","定积分","1"
"LA","定积分比较","1"
"LA","独立同分布","1"
"LA","独立性","2"
"LA","独立性判定","1"
"LA","对称区间积分","1"
"LA","对称性","2"
"LA","对数函数","1"
"LA","多项分布","1"
"LA","多项式","2"
"LA","多项式除法","1"
"LA","多项式系数","3"
"LA","多元复合函数","1"
"LA","多元函数极值","2"
"LA","多元函数微分","1"
"LA","多重线性性","3"
"LA","二阶导数","1"
"LA","二阶偏导","1"
"LA","二阶偏导数","1"
"LA","二维均匀分布","1"
"LA","二维正态分布","1"
"LA","二项分布","1"
"LA","二重积分","1"
"LA","法方程","3"
"LA","反常积分","1"
"LA","反例","7"
"LA","反例法","1"
"LA","反例构造","3"
"LA","反证法","3"
"LA","方差","1"
"LA","方程的根","1"
"LA","非零解","3"
"LA","分布函数","2"
"LA","分部积分法","2"
"LA","分段函数","3"
"LA","分离变量","2"
"LA","符号判定","3"
"LA","辅助函数","1"
"LA","辅助函数构造","1"
"LA","复合函数","2"
"LA","傅里叶级数","1"
"LA","概率密度函数","1"
"LA","概念辨析","2"
"LA","高阶导数","1"
"LA","格林公式","1"
"LA","公因子提取","3"
"LA","拐点","1"
"LA","广义瑞利商","3"
"LA","归一化条件","1"
"LA","函数极限","1"
"LA","函数连续","1"
"LA","和函数","1"
"LA","恒等变形","4"
"LA","积分不等式","1"
"LA","积分因子","1"
"LA","积分中值定理","1"
"LA","基","3"
"LA","级数求和","1"
"LA","极限","2"
"LA","极坐标","2"
"LA","几何级数","1"
"LA","假设检验","1"
"LA","间断点","1"
"LA","降阶","3"
"LA","降阶法","3"
"LA","降阶展开","3"
"LA","交换积分次序","1"
"LA","介值定理","1"
"LA","绝对收敛","1"
"LA","柯西不等式","5"
"LA","可降阶微分方程","1"
"LA","可微性","1"
"LA","拉格朗日乘子法","1"
"LA","连续型随机变量","1"
"LA","连续性","1"
"LA","联合概率密度","1"
"LA","敛散性","1"
"LA","链式法则","2"
"LA","裂项","1"
"LA","零点存在性","1"
"LA","罗尔定理","1"
"LA","幂级数","1"
"LA","幂级数展开","1"
"LA","幂零变换","3"
"LA","内积","4"
"LA","内积计算","2"
"LA","逆序数","4"
"LA","判别式","2"
"LA","配方","1"
"LA","偏导数","7"
"LA","偏微分方程","1"
"LA","平方和","2"
"LA","平方和分解","1"
"LA","平面方程","3"
"LA","齐次方程","2"
"LA","奇偶函数","1"
"LA","奇偶性","2"
"LA","切平面","2"
"LA","曲面分类","3"
"LA","曲面积分","2"
"LA","全微分","1"
"LA","全微分方程","1"
"LA","三角函数积分","1"
"LA","三角恒等变换","1"
"LA","三角换元","1"
"LA","实根个数","1"
"LA","事件独立性","1"
"LA","事件运算","1"
"LA","收敛半径","1"
"LA","数学归纳法","4"
"LA","数学期望","2"
"LA","数学期望的线性性","1"
"LA","数字特征","1"
"LA","随机变量函数","1"
"LA","随机占优","1"
"LA","泰勒公式","4"
"LA","特解","2"
"LA","特征方程","2"
"LA","梯度","1"
"LA","条件概率","3"
"LA","条件极值","2"
"LA","条件密度","1"
"LA","条件最值","1"
"LA","通量","1"
"LA","投影法","1"
"LA","投影区域","1"
"LA","凸函数","1"
"LA","椭球面","2"
"LA","外积","3"
"LA","微分方程","2"
"LA","韦达定理","2"
"LA","无偏性","1"
"LA","无穷小阶数","1"
"LA","线性表出","3"
"LA","相关系数","1"
"LA","协方差","3"
"LA","斜渐近线","1"
"LA","行和","6"
"LA","样本二阶矩","1"
"LA","样本均值","1"
"LA","一阶微分方程","2"
"LA","一阶线性微分方程","1"
"LA","因式分解","2"
"LA","隐函数求导","3"
"LA","有理函数积分","1"
"LA","有效性","1"
"LA","右逆","4"
"LA","余子式","4"
"LA","原函数","1"
"LA","张成空间","4"
"LA","正交投影","3"
"LA","正态分布","1"
"LA","指示变量","1"
"LA","指数分布","1"
"LA","秩一扰动","3"
"LA","秩一修正","4"
"LA","中值定理","1"
"LA","周期解","1"
"LA","周期性","1"
"LA","周期延拓","1"
"LA","驻点","1"
"LA","柱面","3"
"LA","转置","2"
"LA","最大似然估计","3"
"LA","最小二乘","3"
"LA","左右极限","1"
"LA","Jensen不等式","1"
"LA","Rolle定理","1"
"OS","安全性检查","4"
"OS","按名存取","3"
"OS","程序查询方式","1"
"OS","程序计数器","4"
"OS","程序状态字","1"
"OS","传输时间","1"
"OS","磁盘空间管理","3"
"OS","磁盘块","3"
"OS","磁头移动距离","4"
"OS","存储保护","4"
"OS","存储层次","1"
"OS","存储管理","3"
"OS","存储器分类","1"
"OS","打开文件表","3"
"OS","单位换算","2"
"OS","地址划分","1"
"OS","地址结构","2"
"OS","地址空间","1"
"OS","地址空间隔离","3"
"OS","地址越界检查","3"
"OS","等待队列","3"
"OS","电梯调度","3"
"OS","独占设备","4"
"OS","多处理器系统","1"
"OS","访存次数","2"
"OS","分层结构","1"
"OS","符号链接","3"
"OS","概念辨析","1"
"OS","共享内存","4"
"OS","固定分区","3"
"OS","固态硬盘","3"
"OS","核心态","3"
"OS","滑动窗口","1"
"OS","假脱机技术","4"
"OS","进制转换","1"
"OS","竞态条件","4"
"OS","局部性","3"
"OS","局部性原理","2"
"OS","局部置换","3"
"OS","空间局部性","2"
"OS","库函数","3"
"OS","快表","2"
"OS","链表插入","1"
"OS","链式存储","1"
"OS","流水线计算","2"
"OS","路径解析","4"
"OS","逻辑结构","1"
"OS","忙等","3"
"OS","磨损均衡","3"
"OS","内存保护","3"
"OS","内存利用率","3"
"OS","平均查找长度","1"
"OS","期望计算","1"
"OS","请求调入","3"
"OS","全双工通信","2"
"OS","让权等待","3"
"OS","上下文切换","4"
"OS","设备分类","2"
"OS","设备控制器","3"
"OS","时间复杂度","1"
"OS","时间局部性","2"
"OS","时间片","3"
"OS","事件驱动模拟","3"
"OS","输入输出井","3"
"OS","数据传输率","1"
"OS","数据传输速率","1"
"OS","数据通路","1"
"OS","数组实现","1"
"OS","随机存取","2"
"OS","索引表","2"
"OS","条件变量","4"
"OS","通道技术","3"
"OS","通用寄存器","1"
"OS","吞吐量","1"
"OS","吞吐量计算","1"
"OS","位图法","3"
"OS","位运算","1"
"OS","文件保护","3"
"OS","文件访问控制","3"
"OS","文件分配表","4"
"OS","文件分配方式","4"
"OS","文件最大长度","4"
"OS","物理地址","2"
"OS","物理地址计算","4"
"OS","系统启动流程","3"
"OS","消息传递","4"
"OS","行优先存储","2"
"OS","虚拟设备","4"
"OS","寻址方式","1"
"OS","引导程序","3"
"OS","引用计数","4"
"OS","用户接口","2"
"OS","有限等待","4"
"OS","有效存取时间","3"
"OS","原语","3"
"OS","执行时间","1"
"OS","指令分类","1"
"OS","重定位寄存器","4"
"OS","驻留集","4"
"OS","状态寄存器","1"
"OS","状态转移","1"
"OS","子程序调用","1"
"OS","阻塞队列","4"
"OS","ACL","1"
"OS","BIOS","2"
"OS","C_S模式","1"
"OS","Cache映射","1"
"OS","MBR","1"
"OS","MMU","1"
"OS","RAM","1"
"OS","ROM","2"
"OS","SIGKILL","2"
"OS","SIGSTOP","1"
"PS","凹函数","1"
"PS","必然事件","3"
"PS","边界条件","1"
"PS","变量代换","2"
"PS","变限积分","1"
"PS","不等式","1"
"PS","不等式放缩","2"
"PS","不等式证明","1"
"PS","不可能事件","3"
"PS","参数范围","1"
"PS","参数求解","7"
"PS","充要条件","7"
"PS","凑微分法","1"
"PS","单调性","5"
"PS","等比级数","3"
"PS","等比级数求和","1"
"PS","等比数列","1"
"PS","递推法","1"
"PS","递推数列","3"
"PS","调和级数","2"
"PS","定积分的计算","2"
"PS","定积分求面积","1"
"PS","独立性判定","17"
"PS","独立正态变量","4"
"PS","对称分布","3"
"PS","对数积分","1"
"PS","二次型","3"
"PS","二阶矩","5"
"PS","二阶原点矩","5"
"PS","反常积分","3"
"PS","反函数求导","1"
"PS","反例法","2"
"PS","反例构造","4"
"PS","反三角函数积分","1"
"PS","反三角函数求导","1"
"PS","反证法","1"
"PS","分布列","4"
"PS","分部积分法","3"
"PS","概率分布","3"
"PS","概率归一化","3"
"PS","概率减法公式","3"
"PS","概率为0/1","1"
"PS","高斯积分","3"
"PS","函数单调性","1"
"PS","函数性质","1"
"PS","函数最值","3"
"PS","互斥","3"
"PS","换元积分法","3"
"PS","混合偏导","1"
"PS","积分的计算","3"
"PS","积分区域确定","1"
"PS","级数敛散性","1"
"PS","级数求和","3"
"PS","级数收敛","2"
"PS","极限计算","1"
"PS","极限条件","1"
"PS","极值","1"
"PS","极坐标","3"
"PS","极坐标变换","5"
"PS","集合运算","3"
"PS","几何级数","2"
"PS","间断点","4"
"PS","绝对收敛","3"
"PS","绝对值处理","1"
"PS","绝对值函数","2"
"PS","均方误差","3"
"PS","均值不等式","1"
"PS","柯西-施瓦茨不等式","2"
"PS","柯西不等式","2"
"PS","拉格朗日乘数法","1"
"PS","离散型分布","4"
"PS","连续性","1"
"PS","两点分布","4"
"PS","裂项求和","1"
"PS","密度归一化","3"
"PS","幂级数","1"
"PS","幂级数求和","5"
"PS","幂级数展开","3"
"PS","模运算","1"
"PS","偶函数","1"
"PS","偶函数积分","3"
"PS","排列组合","4"
"PS","判别式","7"
"PS","配方","1"
"PS","配方法","3"
"PS","平方和分解","4"
"PS","平面区域面积","2"
"PS","泊松定理","3"
"PS","奇偶性","1"
"PS","奇偶性积分","1"
"PS","琴生不等式","1"
"PS","区间概率","3"
"PS","区间长度","3"
"PS","取整函数","5"
"PS","瑞利分布","4"
"PS","三角分布","4"
"PS","三角函数","1"
"PS","事件差","3"
"PS","事件的关系与运算","7"
"PS","收敛性判断","1"
"PS","随机变量","3"
"PS","随机变量独立","4"
"PS","随机占优","3"
"PS","特征函数","3"
"PS","特征值","1"
"PS","条件极值","1"
"PS","条件收敛","1"
"PS","跳跃间断点","1"
"PS","同分布","5"
"PS","退化分布","4"
"PS","微分方程","1"
"PS","尾部概率","5"
"PS","尾概率","4"
"PS","无穷级数求和","1"
"PS","显著性检验","4"
"PS","线性相关","4"
"PS","相合估计","3"
"PS","行列式","2"
"PS","行列式展开","1"
"PS","雅可比行列式","4"
"PS","一阶线性微分方程","1"
"PS","因式分解","1"
"PS","有放回抽样","4"
"PS","原点矩","3"
"PS","正定矩阵","1"
"PS","支撑集","3"
"PS","中位数","3"
"PS","状态转移","1"
"PS","最大值","1"
"PS","最大值最小值","4"
"PS","LOTUS","1"
"PS","max/min恒等变形","1"
"PS","max/min事件转化","1"
"PS","Pareto分布","3"
"PS","Rayleigh分布","4"
