"Old","Count","New"
"二叉排序树","34","二叉搜索树"
"二次型标准形","10","二次型的标准形"
"二次型规范形","8","二次型的规范形"
"二次型秩","1","二次型的秩"
"二阶常系数齐次线性微分方程","1","二阶常系数线性齐次微分方程"
"二阶常系数线性非齐次方程","1","二阶常系数线性非齐次微分方程"
"反常积分的敛散性","1","反常积分敛散性"
"方差的性质","2","方差性质"
"方程根","1","方程的根"
"分布函数计算","1","分布函数求解"
"分部积分","68","分部积分法"
"分块矩阵的行列式","1","分块矩阵行列式"
"分块矩阵秩","2","分块矩阵的秩"
"符号判断","1","符号判定"
"辅助函数法","7","辅助函数构造"
"概率密度","85","概率密度函数"
"概率求解","1","概率计算"
"概率为0的事件","1","概率为0事件"
"概率性质","4","概率的性质"
"高速缓存","1","Cache"
"构造辅助函数","23","辅助函数构造"
"估计量评选标准","1","估计量的评选标准"
"广义积分","11","反常积分"
"函数凹凸性","15","函数的凹凸性"
"函数的连续性","2","函数连续性"
"函数的有界性","5","函数有界性"
"和函数求法","1","和函数求解"
"后退N帧","1","后退N帧协议"
"互斥同步","4","同步与互斥"
"换元法","60","换元积分法"
"换元积分","39","换元积分法"
"积分换元","4","换元积分法"
"积分计算","9","积分的计算"
"积分求解","2","积分的计算"
"极大似然估计","8","最大似然估计"
"极限的保号性","1","极限保号性"
"极限的运算","1","极限运算"
"极值判断","2","极值判定"
"极坐标换元","8","极坐标变换"
"渐近线求解","2","渐近线求法"
"进程同步互斥","1","同步与互斥"
"进程同步与互斥","2","同步与互斥"
"矩估计法","12","矩估计"
"矩阵乘积秩","1","矩阵乘积的秩"
"矩阵的初等变换","1","矩阵初等变换"
"矩阵的合同","1","矩阵合同"
"矩阵的幂","20","矩阵幂"
"矩阵的逆","1","矩阵逆"
"矩阵的特征值","4","矩阵特征值"
"矩阵的维度","1","矩阵维度"
"矩阵的维数","2","矩阵维数"
"矩阵的相似","20","矩阵相似"
"矩阵的秩与零空间","1","矩阵秩与零空间"
"矩阵的转置","2","矩阵转置"
"矩阵迹","3","矩阵的迹"
"矩阵特征值特征向量","1","特征值与特征向量"
"矩阵运算","18","矩阵的运算"
"矩阵秩","150","矩阵的秩"
"矩阵秩的不等式","1","矩阵秩不等式"
"可导性判断","1","可导性判定"
"可分离变量方程","13","可分离变量微分方程"
"连续定义","1","连续的定义"
"联合密度","18","联合概率密度"
"列空间（像空间）","1","列空间(像空间)"
"洛必达","2","洛必达法则"
"慢开始","4","TCP慢开始"
"慢启动","7","TCP慢开始"
"面向连接特性","1","面向连接特点"
"逆矩阵计算","1","逆矩阵求解"
"逆矩阵求法","1","逆矩阵求解"
"偏导数求解","1","偏导数计算"
"期望","47","数学期望"
"期望方差","5","数学期望与方差"
"期望线性性","14","数学期望的线性性"
"期望线性性质","3","数学期望的线性性"
"期望与方差","21","数学期望与方差"
"曲面的定向","1","曲面定向"
"缺页中断","20","缺页异常"
"三次握手","2","TCP三次握手"
"森林与二叉树的转换","1","森林与二叉树转换"
"生产者-消费者","2","生产者-消费者问题"
"生产者-消费者模型","2","生产者-消费者问题"
"生产者消费者","9","生产者-消费者问题"
"生产者消费者模型","2","生产者-消费者问题"
"生产者消费者问题","6","生产者-消费者问题"
"时间片轮转","21","时间片轮转调度"
"事件的包含关系","1","事件包含关系"
"事件的独立性","14","事件独立性"
"事件关系与运算","2","事件的关系与运算"
"收敛的必要条件","1","收敛必要条件"
"树遍历","1","树的遍历"
"树的存储结构","2","树存储结构"
"树高度","1","树的高度"
"四次挥手","7","TCP四次挥手"
"随机变量独立性","14","随机变量的独立性"
"随机变量函数分布","39","随机变量函数的分布"
"随机变量函数期望","10","随机变量函数的期望"
"泰勒展开","134","泰勒公式"
"泰勒展开式","1","泰勒公式"
"特征向量的定义","1","特征向量定义"
"特征向量与特征值","4","特征值与特征向量"
"特征值求解","2","特征值计算"
"特征值特征向量","8","特征值与特征向量"
"条件数学期望","2","条件期望"
"停止等待协议","14","停止-等待协议"
"同步互斥","4","同步与互斥"
"同分布判断","1","同分布判定"
"图遍历","5","图的遍历"
"图存储结构","2","图的存储结构"
"图的存储","3","图存储"
"图连通性","1","图的连通性"
"王道算法应用题打卡表做题本/树的应用/树（森林）的定义和画图","6","王道算法应用题打卡表做题本/树的应用/树(森林)的定义和画图"
"微分的定义","1","微分定义"
"无穷小的阶","6","无穷小阶"
"无穷小阶比较","3","无穷小阶的比较"
"无穷小量的阶","1","无穷小量阶"
"系统启动过程","1","系统启动流程"
"先来先服务","8","先来先服务调度"
"线性表示的唯一性","1","线性表示唯一性"
"线性方程组的解","1","线性方程组解"
"线性方程组的通解","1","线性方程组通解"
"线性方程组解的判定","2","线性方程组解判定"
"线性方程组解结构","2","线性方程组解的结构"
"线性方程组解判断","1","线性方程组解判定"
"线性无关判断","1","线性无关判定"
"向量组的等价","6","向量组等价"
"向量组线性相关性","3","向量组的线性相关性"
"向量组秩","9","向量组的秩"
"协议概念","1","协议定义"
"行列式的计算","15","行列式计算"
"行列式的性质","6","行列式性质"
"叶结点判断","1","叶结点判定"
"优先权调度","2","优先级调度"
"圆的面积","1","圆面积"
"圆方程","1","圆的方程"
"栈的基本操作","1","栈基本操作"
"栈的模拟","1","栈模拟"
"栈的深度","1","栈深度"
"栈的应用","2","栈应用"
"哲学家就餐问题","2","哲学家进餐问题"
"正态总体的抽样分布","10","正态总体抽样分布"
"指令执行过程","2","指令执行流程"
"秩","45","矩阵的秩"
"秩-零度定理","2","秩-零化度定理"
"秩-零化度","2","秩-零化度定理"
"秩1矩阵","14","秩一矩阵"
"秩的不等式","2","秩不等式"
"秩零化度定理","4","秩-零化度定理"
"子空间的交","1","子空间交"
"总线概念","1","总线定义"
"最大似然估计法","2","最大似然估计"
"ARP协议","15","ARP"
"AVL树","22","平衡二叉树"
"Cache 分离","1","Cache分离"
"CRC校验","4","CRC"
"DHCP协议","2","DHCP"
"DNS协议","1","DNS"
"FCFS","1","先来先服务调度"
"FCFS调度","1","先来先服务调度"
"FIFO置换算法","4","FIFO页面置换算法"
"GBN协议","3","后退N帧协议"
"IEEE 754","14","IEEE754"
"IEEE754浮点数","1","IEEE 754浮点数"
"LRU页面置换","1","LRU页面置换算法"
"LRU置换算法","3","LRU页面置换算法"
"SJF","1","短作业优先调度"
"SR协议","2","选择重传协议"
"TCP慢启动","2","TCP慢开始"
"TCP特性","1","TCP特点"
"UDP协议特性","1","UDP协议特点"
